"gemeentenaam";"openbareruimtenaam";"huisnummer";"huisletter";"huisnummertoevoeging";"postcode";"woonplaatsnaam";"provincienaam";"lon";"lat";"bouwjaar"
"Haarlemmermeer";"IJweg";345;"";"";"1161EZ";"Zwanenburg";"Noord-Holland";4.73738928313337;52.3647973126526;
"Halderberge";"Bosanemoon";9;"";"";"4741JE";"Hoeven";"Noord-Brabant";4.57927889180454;51.5697705561556;2012
"Hardenberg";"Kruserbrink";101;"";"";"7772XJ";"Hardenberg";"Overijssel";6.6236662386871;52.5780026218275;1962
"Harderwijk";"Zijpenbergerhout";23;"";"";"3845JT";"Harderwijk";"Gelderland";5.60259014804549;52.3229114231608;2010
"Hardinxveld-Giessendam";"Rembrandthof";99;"";"";"3372XV";"Hardinxveld-Giessendam";"Zuid-Holland";4.88380230531175;51.8245565872111;2002
"Haren";"Eenkoorn";1;"";"";"9751WJ";"Haren Gn";"Groningen";6.60929942518461;53.1815619151188;2016
"Harlingen";"De Phoenix";2;"";"";"8862TW";"Harlingen";"Friesland";5.42648452303939;53.1628071161136;1983
"Hattem";"Koningin Wilhelminalaan";2;"A";"66";"8051PA";"Hattem";"Gelderland";6.05720026124036;52.4566217128827;1960
"Heemskerk";"Simon van Haerlemstraat";174;"";"";"1962VG";"Heemskerk";"Noord-Holland";4.6788691230054;52.5069695431872;1900
"Heemstede";"Cruquiushaven";9;"";"";"2102LX";"Heemstede";"Noord-Holland";4.63574285162238;52.341522227871;
"Heerde";"Bonenburgerlaan";66;"";"";"8181HH";"Heerde";"Gelderland";6.04143866995845;52.3828206780375;9999
"Heerenveen";"Bûterwâl";7;"A";"";"8491ES";"Akkrum";"Friesland";5.83353031116728;53.0506713502349;1920
"Heerhugowaard";"Middenweg";593;"";"";"1704BH";"Heerhugowaard";"Noord-Holland";4.85242877438681;52.7164852941168;1930
"Heerlen";"Peter Schunckstraat";562;"";"";"6418XS";"Heerlen";"Limburg";6.00912720029023;50.8638584579953;1967
"Heeze-Leende";"Biesven";6;"b";"";"5595DD";"Leende";"Noord-Brabant";5.5468072917544;51.3518407059801;2013
"Heiloo";"De Houtwal";16;"";"";"1852RP";"Heiloo";"Noord-Holland";4.69835190151086;52.610050037138;2010
"Hellendoorn";"Holterweg";91;"";"";"7441DE";"Nijverdal";"Overijssel";6.45784016745966;52.3524861236349;1960
"Hellevoetsluis";"Moriaanseweg Oost";201;"";"";"3223AH";"Hellevoetsluis";"Zuid-Holland";4.13888952921912;51.8389485085256;1897
