"gemeentenaam";"openbareruimtenaam";"huisnummer";"huisletter";"huisnummertoevoeging";"postcode";"woonplaatsnaam";"provincienaam";"lon";"lat";"bouwjaar"
"Schiedam";"Muiderslotstraat";59;"";"";"3123TA";"Schiedam";"Zuid-Holland";4.36962388975177;51.9454841780889;1988
"Schiermonnikoog";"Klein Zwitserland";13;"";"";"9166RE";"Schiermonnikoog";"Friesland";6.14622873728759;53.4792273937458;1960
"Schijndel";"Willem van Oranjelaan";29;"";"";"5482CJ";"Schijndel";"Noord-Brabant";5.4550278211545;51.6122426672996;1998
"Schinnen";"Stationsstraat";54;"";"";"6365CK";"Schinnen";"Limburg";5.87916502679588;50.9386712130623;1960
"Schouwen-Duiveland";"Hoogenboomlaan";11;"a";"MM05";"4325DD";"Renesse";"Zeeland";3.74839407185278;51.7247540580914;1997
"Simpelveld";"Brandstraat";67;"";"";"6369XB";"Simpelveld";"Limburg";5.97770369495468;50.8332371486704;1966
"Sint-Michielsgestel";"Kloosterhof";7;"N";"";"5258HH";"Berlicum";"Noord-Brabant";5.40280917820235;51.6769272579113;2013
"Sint-Oedenrode";"Boekweit";9;"";"";"5491NP";"Sint-Oedenrode";"Noord-Brabant";5.45036924539417;51.5666261923157;
"Sint Anthonis";"Noordstraat";34;"";"";"5446XB";"Wanroij";"Noord-Brabant";5.8128701602092;51.6585754963196;1900
"Sittard-Geleen";"Tudderenderweg";307;"A";"8";"6137LA";"Sittard";"Limburg";5.89364694574063;51.0095642879128;
"Sliedrecht";"Beyerinckstraat";2;"h";"";"3364AX";"Sliedrecht";"Zuid-Holland";4.75923290540543;51.8326216165268;
"Slochteren";"Damsterweg";2;"";"";"9629PD";"Steendam";"Groningen";6.84517878829082;53.2695789032177;
"Sluis";"Eedeweg";28;"";"";"4527AK";"Aardenburg";"Zeeland";3.44105796298493;51.2695999491298;
"Smallingerland";"Raadhuisplein";62;"";"";"9203EB";"Drachten";"Friesland";6.09987253678921;53.1049907430681;2014
"Soest";"Meent";23;"";"";"3762DX";"Soest";"Utrecht";5.27640051460965;52.1874195126219;
"Someren";"Bosselerstraat";5;"";"";"5711XN";"Someren";"Noord-Brabant";5.71628647769706;51.3895534206656;1965
"Son en Breugel";"Eemshof";3;"";"";"5691PH";"Son en Breugel";"Noord-Brabant";5.48495603994763;51.5284494072548;
"Stadskanaal";"Molenstraat";12;"";"";"9584AT";"Mussel";"Groningen";7.04015400290788;52.9574274530559;2011
"Staphorst";"Ebbinge Wubbenlaan";49;"";"";"7951AB";"Staphorst";"Overijssel";6.20204206961688;52.6535744868498;
"Stede Broec";"Rak";32;"";"";"1611JX";"Bovenkarspel";"Noord-Holland";5.24149930481781;52.7014209229684;1993
"Steenbergen";"Panneman";47;"";"";"4651WL";"Steenbergen";"Noord-Brabant";4.3262709906887;51.5935726955562;1990
"Steenwijkerland";"Veneweg";251;"l";"";"7946LV";"Wanneperveen";"Overijssel";6.07611309655373;52.6910168404518;
"Stein";"Julianaweg";12;"";"";"6171XD";"Stein";"Limburg";5.76477681398141;50.9613998065435;
"Stichtse Vecht";"Dudok de Witstraat";48;"";"";"3621CS";"Breukelen";"Utrecht";4.9989265623088;52.1707095272092;1955
"Strijen";"Steenplaats";18;"a";"";"3291EW";"Strijen";"Zuid-Holland";4.56704716693471;51.7329723735518;
"Súdwest-Fryslân";"De Krânse";23;"";"";"8748GK";"Witmarsum";"Friesland";5.46236525017783;53.0982881519268;2010
"Ten Boer";"Redgerstraat";37;"";"";"9791BH";"Ten Boer";"Groningen";6.69362200531934;53.2710325899422;2010
"Terneuzen";"Puntstraat";6;"";"";"4543CW";"Zaamslag";"Zeeland";3.91162983533931;51.3092729941545;1948
"Terschelling";"Raadhuisstraat";3;"A";"";"8881BM";"West-Terschelling";"Friesland";5.2156996798035;53.3589404111884;1850
"Texel";"Vlamkast";45;"";"";"1792CR";"Oudeschild";"Noord-Holland";4.84864534109876;53.0403049257562;2011
"Teylingen";"Pieter Woutersstraat";13;"";"";"2215MB";"Voorhout";"Zuid-Holland";4.4888684169053;52.2255813553956;2006
"Tholen";"Langeweg";27;"a";"";"4694BK";"Scherpenisse";"Zeeland";4.10888205804326;51.54780070256;2012
"Tiel";"Burgemeester Van Altenastraat";7;"";"";"4001VB";"Tiel";"Gelderland";5.42268057775729;51.8828151811906;1960
"Tilburg";"Scherpenzeelerf";5;"";"";"5035LS";"Tilburg";"Noord-Brabant";4.98354044547616;51.5800135001139;
"Tubbergen";"De Steenbrei";22;"a";"";"7661PE";"Vasse";"Overijssel";6.83331155363526;52.4361725835833;2010
"Twenterand";"Kerkallee";9;"";"";"7683PX";"Den Ham";"Overijssel";6.48584488405553;52.461360233568;
"Tynaarlo";"Tienelsweg";33;"B";"247";"9471PA";"Zuidlaren";"Drenthe";6.65898542097699;53.0977423391981;
"Tytsjerksteradiel";"Lageweg";10;"";"";"9251JW";"Burgum";"Friesland";5.99000828694625;53.1919573303686;1968
"Uden";"Zeelandsedijk";10;"d";"267";"5408SM";"Volkel";"Noord-Brabant";5.68200813764898;51.6583794898193;1991
"Uitgeest";"Lagendijk";22;"";"0015";"1911MT";"Uitgeest";"Noord-Holland";4.7430601208819;52.5173143762561;1890
"Uithoorn";"Boterdijk";66;"";"ME";"1424NH";"De Kwakel";"Noord-Holland";4.80733903553747;52.2400528878478;
"Urk";"Industrierondweg";20;"a";"";"8321EB";"Urk";"Flevoland";5.60977298260164;52.6578687809231;
"Utrecht";"Tweede Westerparklaan";149;"";"";"3544VP";"Utrecht";"Utrecht";5.04795350440457;52.0910360447612;
"Utrechtse Heuvelrug";"van Galenlaan";63;"";"";"3941VC";"Doorn";"Utrecht";5.33777126317374;52.0473238831662;1965
"Vaals";"Mommegats";5;"";"";"6294AN";"Vijlen";"Limburg";5.96774571664414;50.7897981852226;
"Valkenburg aan de Geul";"Poststraat";16;"";"";"6301DZ";"Valkenburg";"Limburg";5.8324374045094;50.8653294841479;2006
"Valkenswaard";"Leonardusdal";65;"";"";"5551CD";"Valkenswaard";"Noord-Brabant";5.43341311319308;51.3558880194306;1972
"Veendam";"Oostlaan";271;"";"";"9642PS";"Veendam";"Groningen";6.85978846147575;53.1030903433824;1972
"Veenendaal";"Gorterpad";3;"";"";"3906XD";"Veenendaal";"Utrecht";5.52439986423203;52.0278904647321;
"Veere";"Brouwershoofd";1;"";"";"4354NV";"Vrouwenpolder";"Zeeland";3.61815427332221;51.5837623882123;1979
"Veghel";"Turfven";29;"";"";"5464PL";"Veghel";"Noord-Brabant";5.56395239364624;51.631969643508;2007
"Veldhoven";"Bosuil";1;"";"";"5508KG";"Veldhoven";"Noord-Brabant";5.38880050681422;51.4330753998853;1990
"Velsen";"Radarstraat";108;"V";"";"1973ZD";"IJmuiden";"Noord-Holland";4.60531554019841;52.454535725197;2010
"Venlo";"Adelborstenstraat";15;"";"";"5914LX";"Venlo";"Limburg";6.17488414717111;51.3865276305826;2015
"Venray";"Deputé Petersstraat";34;"";"";"5808BC";"Oirlo";"Limburg";6.04304576081216;51.5111160647693;
"Vianen";"Middelwaard";5;"";"";"4133LB";"Vianen";"Utrecht";5.05934784674113;51.9858455023978;
"Vlaardingen";"Holyweg";31;"";"";"3137KB";"Vlaardingen";"Zuid-Holland";4.33360691505861;51.9387917491161;
"Vlagtwedde";"Munnekemoer West";34;"";"";"9561NK";"Ter Apel";"Groningen";7.08256129920407;52.8441543042588;
"Vlieland";"Middenweg";37;"H";"";"8899BA";"Vlieland";"Friesland";5.06855680237964;53.2964277759861;1975
"Vlissingen";"President Rooseveltlaan";733;"a";"";"4383NG";"Vlissingen";"Zeeland";3.5836684950798;51.4558478746479;2002
"Voerendaal";"Heerlerweg";93;"";"";"6367AC";"Voerendaal";"Limburg";5.93978840261119;50.8749766088535;1935
"Voorschoten";"Krimkade";71;"a";"";"2251JZ";"Voorschoten";"Zuid-Holland";4.46103844124984;52.1324173318653;1956
"Voorst";"Kruizemuntstraat";40;"";"";"7383XM";"Voorst";"Gelderland";6.13976501119269;52.1681557648308;1992
"Vught";"Olmenlaan";17;"";"";"5261XL";"Vught";"Noord-Brabant";5.29282323343447;51.6607928321212;
"Waalre";"Broekweg";30;"";"";"5581VV";"Waalre";"Noord-Brabant";5.44185787117056;51.3977700309015;
"Waalwijk";"Nederveenweg";18;"a";"";"5161PA";"Sprang-Capelle";"Noord-Brabant";4.98367389315714;51.6947632615418;
"Waddinxveen";"Mercuriusweg";7;"M";"";"2741TB";"Waddinxveen";"Zuid-Holland";4.65351345144239;52.0348925701689;2014
"Wageningen";"Bellostraat";43;"";"";"6706EX";"Wageningen";"Gelderland";5.67706060978607;51.977245151512;2014
"Wassenaar";"Slingerweg";7;"A";"";"2243GT";"Wassenaar";"Zuid-Holland";4.35731263272165;52.1312469527618;1975
"Waterland";"'t Spil";22;"";"";"1141SE";"Monnickendam";"Noord-Holland";5.03720840556193;52.4504495778263;1975
"Weert";"Maasenweg";39;"";"";"6003AH";"Weert";"Limburg";5.70153544956685;51.2647364667789;2010
"Weesp";"Utrechtseweg";698;"s";"";"1381GW";"Weesp";"Noord-Holland";5.06047046722968;52.2970786718618;
"Werkendam";"Buitenkade";3;"";"";"4255GW";"Nieuwendijk";"Noord-Brabant";4.92476850067906;51.7683484738473;1994
"West Maas en Waal";"Schansedijk";14;"";"";"6626BA";"Alphen";"Gelderland";5.49215122877395;51.8346816233669;
"Westerveld";"Broekemastraat";43;"";"";"7981DE";"Diever";"Drenthe";6.3079955521819;52.8579051360732;
"Westervoort";"Hamersestraat";29;"m";"1";"6931EV";"Westervoort";"Gelderland";5.97417771058272;51.9642423525872;2014
"Westland";"Dijkweg";151;"";"";"2675AD";"Honselersdijk";"Zuid-Holland";4.22111872271592;52.0034572297012;1911
"Weststellingwerf";"Hoofdstraat West";13;"";"";"8391AK";"Noordwolde";"Friesland";6.13929813390873;52.8903739255914;1942
"Westvoorne";"Kerkweg";8;"";"";"3235XL";"Rockanje";"Zuid-Holland";4.07730589623275;51.8745995648741;9999
"Wierden";"Anjelierstraat";6;"";"";"7641CG";"Wierden";"Overijssel";6.59551141339455;52.3605649820671;1957
"Wijchen";"Klompenmaker";24;"";"";"6603JM";"Wijchen";"Gelderland";5.74039694840785;51.7956614145087;2010
"Wijdemeren";"Legakker";13;"";"";"1394KV";"Nederhorst den Berg";"Noord-Holland";5.04747147284855;52.2573525138222;1981
"Wijk bij Duurstede";"Flavius";32;"";"";"3962MA";"Wijk bij Duurstede";"Utrecht";5.33409262591337;51.9848747282761;2015
"Winsum";"Leerlooierij";30;"";"";"9951JT";"Winsum";"Groningen";6.52835764464497;53.3266466064355;1980
"Winterswijk";"Kastanjelaan";88;"a";"";"7101LZ";"Winterswijk";"Gelderland";6.72897626587903;51.9699228394814;
"Woensdrecht";"Dorpsstraat";4;"a";"";"4635BC";"Huijbergen";"Noord-Brabant";4.37867641409144;51.4327750133224;2015
"Woerden";"Hoge Rijndijk";4;"";"23";"3449HA";"Woerden";"Utrecht";4.87196546926711;52.0854279239698;2011
"Wormerland";"Dorpsstraat";84;"";"";"1534NM";"Oostknollendam";"Noord-Holland";4.79395837287146;52.5201079863308;1921
"Woudenberg";"'t Schilt";16;"";"";"3931VH";"Woudenberg";"Utrecht";5.4135940555504;52.0818633247533;2005
"Woudrichem";"Stadshaven";12;"";"";"4285AZ";"Woudrichem";"Noord-Brabant";5.00186230835858;51.8189930479644;
"Zaanstad";"Ringweg";302;"";"";"1507BS";"Zaandam";"Noord-Holland";4.78748081245306;52.4306183198533;
"Zaltbommel";"Tolstraat";4;"b";"";"5301AX";"Zaltbommel";"Gelderland";5.24683198622885;51.8139198946206;2009
"Zandvoort";"Wilhelminaweg";42;"";"";"2042NR";"Zandvoort";"Noord-Holland";4.53739823086914;52.3705341713421;1952
"Zederik";"Kortenhoevenseweg";17;"";"";"4128CL";"Lexmond";"Zuid-Holland";5.03778012715101;51.9634228508441;1920
"Zeewolde";"Wielseweg";3;"K";"W5";"3896LA";"Zeewolde";"Flevoland";5.44020863709685;52.2748175691901;
"Zeist";"Meester Lasterielaan";8;"";"";"3734JC";"Den Dolder";"Utrecht";5.23477314707101;52.1442165843384;2010
"Zevenaar";"Beekseweg";39;"";"";"6909DN";"Babberich";"Gelderland";6.13971482325807;51.9058022474246;1931
"Zoetermeer";"Wethouder Van Wellstraat";18;"";"";"2721DT";"Zoetermeer";"Zuid-Holland";4.55101635665231;52.0601724097913;2015
"Zoeterwoude";"Rhijnvreugd";9;"a";"";"2382BG";"Zoeterwoude";"Zuid-Holland";4.52378543754508;52.1460231177756;
"Zuidhorn";"Taling";18;"";"";"9843GG";"Grijpskerk";"Groningen";6.30070826358337;53.2613153165105;1977
"Zuidplas";"Rietgors";8;"";"";"2841RS";"Moordrecht";"Zuid-Holland";4.661479232677;51.9876061518041;1981
"Zundert";"van den Berghstraat";35;"";"";"4885AG";"Achtmaal";"Noord-Brabant";4.58251503994815;51.4518464647597;1966
"Zutphen";"Kerkpad";102;"";"";"7203DT";"Zutphen";"Gelderland";6.22464252270884;52.147173460582;
"Zwartewaterland";"Fazant";49;"";"";"8281GM";"Genemuiden";"Overijssel";6.04841306673984;52.6177154989099;1978
"Zwijndrecht";"Bolero";50;"";"";"3335ED";"Zwijndrecht";"Zuid-Holland";4.60088719955402;51.8202963794507;
"Zwolle";"Almelose Kanaal";55;"B";"";"8011KS";"Zwolle";"Overijssel";6.10371529422596;52.5119758029733;
